county                                       u5   seats  per100  provs desert
russell (51)                                596      72    12.1      3 DESERT
martinsville city (51)                      596       0     0.0      0 DESERT
castro (48)                                 599     227    37.9      4 
greene (51)                                 599      72    12.0      2 DESERT
martin (27)                                 600     806   134.3     62 
trinity (06)                                608     110    18.1      4 DESERT
red willow (31)                             610     460    75.4     19 
phelps (31)                                 611     556    91.0     21 
fredericksburg city (51)                    611       0     0.0      0 DESERT
caledonia (50)                              613    1623   264.8     68 
orange (50)                                 613    1386   226.1     55 
dodge (27)                                  614     810   131.9     47 
meeker (27)                                 615     726   118.0     38 
mariposa (06)                               619     138    22.3      6 DESERT
wabasha (27)                                619     825   133.3     66 
duval (48)                                  620     391    63.1      7 
las animas (08)                             623     409    65.7      9 
thurston (31)                               624     495    79.3      9 
orleans (50)                                628    1133   180.4     62 
lamoille (50)                               633    1487   234.9     45 
trinity (48)                                637     284    44.6      3 
carroll (51)                                643     128    19.9      6 DESERT
cass (27)                                   644     672   104.3     57 
holt (31)                                   647     523    80.8     33 
pine (27)                                   654     833   127.4     48 
adair (40)                                  657     213    32.4      7 DESERT
dinwiddie (51)                              661     259    39.2      8 
cuming (31)                                 662     268    40.5     13 
franklin (48)                               664       0     0.0      0 DESERT
new kent (51)                               665     379    57.0      6 
powhatan (51)                               666     491    73.7      7 
staunton city (51)                          666       0     0.0      0 DESERT
zavala (48)                                 671     492    73.3      7 
smyth (51)                                  671     212    31.6      3 DESERT
live oak (48)                               672      34     5.1      1 DESERT
amherst (51)                                674      92    13.6      3 DESERT
woodward (40)                               679     391    57.6     13 
fulton (42)                                 681     130    19.1      6 DESERT
waynesboro city (51)                        684       0     0.0      0 DESERT
grand (08)                                  688    1805   262.4     23 
morris (48)                                 688     298    43.3      4 
brown (27)                                  688    1436   208.7     90 
mecklenburg (51)                            691     405    58.6      7 
ochiltree (48)                              697     291    41.8      7 
seminole (40)                               697     549    78.8     13 
red river (48)                              705       6     0.9      2 DESERT
custer (31)                                 706     356    50.4     17 
moffat (08)                                 711     405    57.0      6 
botetourt (51)                              712     194    27.2      3 DESERT
chaffee (08)                                714    1194   167.2     17 
parmer (48)                                 716      86    12.0      4 DESERT
yuma (08)                                   718     350    48.7     13 
karnes (48)                                 725     286    39.4     11 
freeborn (27)                               732     824   112.6     50 
jim hogg (48)                               734     193    26.3      7 DESERT
wythe (51)                                  739     169    22.9      6 DESERT
colonial heights city (51)                  741       0     0.0      0 DESERT
mille lacs (27)                             742     946   127.5     47 
le sueur (27)                               743     914   123.0     66 
addison (50)                                744    2075   278.9     59 
garvin (40)                                 747     433    58.0     29 
beckham (40)                                749     589    78.6     19 
callahan (48)                               757     374    49.4     12 
prowers (08)                                758     407    53.7      9 
wise (51)                                   761     112    14.7      5 DESERT
comanche (48)                               763     164    21.5      7 DESERT
potter (42)                                 766     232    30.3      5 DESERT
caddo (40)                                  766     774   101.0     25 
yoakum (48)                                 768      37     4.8      1 DESERT
texas (40)                                  771     336    43.6     20 
tyler (48)                                  773     129    16.7      4 DESERT
fluvanna (51)                               776     580    74.7      8 
windham (50)                                780    1906   244.4     70 
bennington (50)                             782    1713   219.1     63 
pulaski (51)                                790      88    11.1      1 DESERT
king george (51)                            791      28     3.5      2 DESERT
dawson (48)                                 793     252    31.8      3 DESERT
madison (48)                                803     233    29.0     10 DESERT
pacific (53)                                804     323    40.2      8 
schuyler (36)                               805     299    37.1      9 
jefferson (53)                              808     132    16.3      3 DESERT
hopewell city (51)                          818       0     0.0      0 DESERT
caroline (51)                               820     129    15.7      5 DESERT
todd (27)                                   824     544    66.0     53 
halifax (51)                                843     175    20.8      3 DESERT
plumas (06)                                 844     209    24.8      8 DESERT
leon (48)                                   845     238    28.2      5 DESERT
ward (48)                                   845     265    31.4      4 DESERT
terry (48)                                  848     192    22.6      7 DESERT
colfax (31)                                 851     362    42.5     17 
teller (08)                                 853    1641   192.4     22 
jones (48)                                  855     167    19.5     13 DESERT
camp (48)                                   857     353    41.2      6 
york (31)                                   859     688    80.1     27 
tazewell (51)                               859      22     2.6      2 DESERT
nolan (48)                                  861     622    72.2     10 
mcleod (27)                                 868    1504   173.3     91 
lamb (48)                                   869     129    14.8      4 DESERT
wilbarger (48)                              872     671    76.9     15 
accomack (51)                               873     135    15.5      6 DESERT
reeves (48)                                 876     310    35.4      3 
polk (27)                                   877    1531   174.6     98 
carlton (27)                                884    1366   154.5     69 
bandera (48)                                885     353    39.9      3 
gloucester (51)                             895     705    78.8      7 
inyo (06)                                   903     303    33.6     13 
jackson (40)                                909     503    55.3     14 
llano (48)                                  911     283    31.1      8 DESERT
delaware (40)                               911     761    83.5     26 
morrison (27)                               914    1346   147.3     98 
lyon (27)                                   915    1321   144.4     80 
routt (08)                                  916    1494   163.1     33 
custer (40)                                 916     883    96.4     36 
becker (27)                                 924     968   104.8    100 
isle of wight (51)                          928     260    28.0      9 DESERT
saline (31)                                 929     497    53.5     21 
montague (48)                               929     149    16.0      5 DESERT
burleson (48)                               931     254    27.3      8 DESERT
pecos (48)                                  937     376    40.1      6 
prince george (51)                          937     418    44.6      7 
bosque (48)                                 941     126    13.4      6 DESERT
alamosa (08)                                958     588    61.4     15 
falls (48)                                  960     133    13.9      8 DESERT
seward (31)                                 963     976   101.3     25 
henry (51)                                  963     680    70.6      9 
winchester city (51)                        963       0     0.0      0 DESERT
young (48)                                  964     549    57.0      8 
eastland (48)                               965     260    26.9      7 DESERT
otoe (31)                                   972     478    49.2     24 
nicollet (27)                               974    1415   145.3     60 
nobles (27)                                 978     597    61.0     46 
ottawa (40)                                 978     749    76.6     21 
lincoln (40)                                981     574    58.5     19 
montour (42)                                993     907    91.3     11 
louisa (51)                                 993     288    29.0      7 DESERT
okmulgee (40)                               995     766    77.0     24 
jackson (48)                                996     521    52.3     16 
freestone (48)                              997      81     8.1      6 DESERT
logan (08)                                 1001     530    52.9     21 
frio (48)                                  1016     426    41.9      9 
itasca (27)                                1019    1387   136.1     78 
mccurtain (40)                             1021     901    88.2     25 
zapata (48)                                1024     433    42.3      7 
otero (08)                                 1028     585    56.9     12 
klickitat (53)                             1043     158    15.1      5 DESERT
orange (51)                                1047     154    14.7     10 DESERT
osage (40)                                 1054     780    74.0     31 
steele (27)                                1055    1672   158.5     92 
warren (51)                                1061     266    25.1      6 DESERT
douglas (27)                               1062    1770   166.7    120 
scurry (48)                                1064     475    44.6      9 
lee (48)                                   1069     538    50.3     12 
robertson (48)                             1069     453    42.4      7 
fairfax city (51)                          1073     210    19.6      4 DESERT
washington (51)                            1074     244    22.7     10 DESERT
washington (31)                            1078     896    83.1     27 
pittsylvania (51)                          1079     107     9.9      3 DESERT
mayes (40)                                 1087     641    59.0     20 
hutchinson (48)                            1095     667    60.9      8 
gage (31)                                  1098    1286   117.1     46 
lampasas (48)                              1105     189    17.1      7 DESERT
winona (27)                                1108    1826   164.8    108 
aransas (48)                               1109     567    51.1      7 
houston (48)                               1128     316    28.0      4 DESERT
windsor (50)                               1133    3309   292.1    101 
benton (27)                                1138    1855   163.0    117 
summit (08)                                1144    1859   162.5     36 
pontotoc (40)                              1144    1003    87.7     20 
willacy (48)                               1153     570    49.4     10 
stephens (40)                              1157     691    59.7     17 
calhoun (48)                               1163     870    74.8     14 
washington (50)                            1175    2694   229.3     98 
shenandoah (51)                            1176     745    63.4     14 
charlottesville city (51)                  1178       0     0.0      0 DESERT
dewitt (48)                                1183     580    49.0     12 
gray (48)                                  1185     597    50.4      8 
wyoming (42)                               1192     250    21.0     11 DESERT
goodhue (27)                               1197    1374   114.8     88 
isanti (27)                                1210    1031    85.2     52 
fayette (48)                               1212     482    39.8     16 
rutland (50)                               1218    3170   260.3    101 
pittsburg (40)                             1221     959    78.5     30 
danville city (51)                         1223       0     0.0      0 DESERT
mcclain (40)                               1234    1074    87.0     27 
lavaca (48)                                1235     707    57.2     21 
montezuma (08)                             1250    1004    80.3     16 
sequoyah (40)                              1254     975    77.8     23 
gillespie (48)                             1256     393    31.3     11 DESERT
harrisonburg city (51)                     1258       0     0.0      0 DESERT
cherokee (40)                              1263    1224    96.9     39 
asotin (53)                                1265     501    39.6     11 
kay (40)                                   1267    1116    88.1     50 
limestone (48)                             1284     172    13.4      4 DESERT
panola (48)                                1288     421    32.7      4 DESERT
schoharie (36)                             1289     425    33.0     15 
gonzales (48)                              1312     413    31.5      7 DESERT
essex (36)                                 1315     946    71.9     35 
del norte (06)                             1349     270    20.0     10 DESERT
colusa (06)                                1364     509    37.3     17 
franklin (50)                              1364    1872   137.2     96 
beltrami (27)                              1365    1400   102.6    121 
logan (40)                                 1368     375    27.4     16 DESERT
mower (27)                                 1375    1128    82.0     65 
elbert (08)                                1384    2581   186.5     19 
elk (42)                                   1385     505    36.5     18 
kandiyohi (27)                             1387    1677   120.9    100 
colorado (48)                              1388     868    62.5     10 
lassen (06)                                1389     366    26.3     12 DESERT
saunders (31)                              1396    1203    86.2     34 
washington (40)                            1400    1577   112.6     37 
cass (31)                                  1402    1050    74.9     25 
juniata (42)                               1402      91     6.5      8 DESERT
milam (48)                                 1418     538    37.9     13 
franklin (51)                              1420     390    27.5     10 DESERT
delta (08)                                 1439     721    50.1     20 
le flore (40)                              1448    1407    97.2     43 
campbell (51)                              1451     366    25.2      7 DESERT
hockley (48)                               1458     238    16.3      8 DESERT
san jacinto (48)                           1463     461    31.5      9 DESERT
grady (40)                                 1466     858    58.5     23 
petersburg city (51)                       1487       0     0.0      0 DESERT
andrews (48)                               1496    1028    68.7      8 
otter tail (27)                            1512    2266   149.9    163 
bee (48)                                   1515     496    32.7      8 DESERT
bryan (40)                                 1520    1305    85.9     38 
carter (40)                                1537    1498    97.5     34 
lewis (36)                                 1539    1214    78.9     18 
yates (36)                                 1544     387    25.1     11 DESERT
greene (42)                                1562     374    23.9     23 DESERT
shelby (48)                                1572     322    20.5      5 DESERT
amador (06)                                1581     335    21.2     13 DESERT
