county                                       u5   seats  per100  provs desert
delaware (42)                             32930   21032    63.9    334 
adams (08)                                33697   18353    54.5    345 
san francisco (06)                        34146   20434    59.8    404 
tulare (06)                               34687    6150    17.7    129 DESERT
lancaster (42)                            34744   11769    33.9    228 
union (34)                                35877   25405    70.8    279 
hennepin (27)                             36499   58062   159.1   1316 
stanislaus (06)                           36821    7081    19.2    163 DESERT
arapahoe (08)                             37890   32327    85.3    501 
san mateo (06)                            37891   26484    69.9    417 
denver (08)                               38368   33436    87.1    454 
monroe (36)                               39085   22332    57.1    670 
douglas (31)                              40422   51495   127.4    756 
williamson (48)                           40481   42795   105.7    525 
hudson (34)                               42564   34155    80.2    392 
montgomery (48)                           43327   30423    70.2    283 
ventura (06)                              44164   17293    39.2    284 
montgomery (42)                           45190   38553    85.3    448 
el paso (08)                              45550   27715    60.8    545 
middlesex (34)                            45627   34278    75.1    352 
ocean (34)                                49223   13744    27.9    155 DESERT
erie (36)                                 49525   27195    54.9    482 
bergen (34)                               49626   40973    82.6    438 
snohomish (53)                            50557   30532    60.4    523 
san joaquin (06)                          51565   11856    23.0    251 DESERT
westchester (36)                          52626   45968    87.3    874 
essex (34)                                53886   43641    81.0    471 
fort bend (48)                            54004   49789    92.2    562 
pierce (53)                               56257   21083    37.5    302 
denton (48)                               56401   45652    80.9    543 
honolulu (15)                             56781   21833    38.5    441 
el paso (48)                              57585   21991    38.2    347 
allegheny (42)                            61788   39656    64.2    717 
contra costa (06)                         61924   32066    51.8    535 
kern (06)                                 64206   12667    19.7    239 DESERT
collin (48)                               67334   81533   121.1    749 
hidalgo (48)                              69846   32808    47.0    482 
fresno (06)                               71086   16857    23.7    374 DESERT
nassau (36)                               73174   59032    80.7   1217 
travis (48)                               74539   57532    77.2    663 
suffolk (36)                              81109   45637    56.3    908 
alameda (06)                              86381   43488    50.3    743 
sacramento (06)                           94169   34425    36.6    654 
philadelphia (42)                         94457   82560    87.4   1735 
santa clara (06)                          98758   52756    53.4    789 
king (53)                                119275   69570    58.3    906 
bexar (48)                               132802   66190    49.8    838 
tarrant (48)                             138610   80783    58.3   1045 
san bernardino (06)                      139323   30229    21.7    587 DESERT
riverside (06)                           144366   32391    22.4    559 DESERT
orange (06)                              165190   74014    44.8   1151 
dallas (48)                              179339   90482    50.5   1078 
san diego (06)                           183613   69243    37.7   1178 
harris (48)                              330675  203476    61.5   2464 
los angeles (06)                         501022  188220    37.6   3259 

covered counties: 967 | deserts (<33/100): 302 (31.2%)
excluded (no county field in source data): state FIPS ['09', '25', '55'] (WI has no county column; CT/NYC sources lack it — see README limitations)
